exposure,outcome,estimate,std.error,beta_std,Description,Category,Abbreviation,p.value,p_fdr,n
GHRL,X23410.0.0,0.00638812218555869,0.000294638492781634,0.130795865038076,Triglycerides in HDL,Triglycerides&Fatty acid,HDL-TG,1.9923375399202e-103,6.557305107116e-103,29476
LGALS4,X23410.0.0,0.00919143414282229,0.000446176566593033,0.124268628322232,Triglycerides in HDL,Triglycerides&Fatty acid,HDL-TG,1.24779485855938e-93,3.8807564867122e-93,29453
APOM,X23411.0.0,0.70708265496357,0.007278084483125,0.472575712107865,Total phospholipids in lipoprotein particles,Phospholipids,Lipoprotein Particles-Total PLs,0,0,29545
CD276,X23411.0.0,-0.065071615,0.00660809679211734,-0.056154149,Total phospholipids in lipoprotein particles,Phospholipids,Lipoprotein Particles-Total PLs,7.64145699510724e-23,1.24242394308938e-22,29453
EGFR,X23411.0.0,0.566882619443709,0.0139295025880637,0.22259787447154,Total phospholipids in lipoprotein particles,Phospholipids,Lipoprotein Particles-Total PLs,0,0,29818
GDF15,X23411.0.0,-0.101153249,0.00510590986737793,-0.126629934,Total phospholipids in lipoprotein particles,Phospholipids,Lipoprotein Particles-Total PLs,8.67847161829979e-87,2.59207213973888e-86,29818
GHRL,X23411.0.0,0.100851784647165,0.0027855606018656,0.206196885957319,Total phospholipids in lipoprotein particles,Phospholipids,Lipoprotein Particles-Total PLs,7.38364529831663e-281,6.10501403933985e-280,29476
LGALS4,X23411.0.0,-0.072976389,0.00428940977846201,-0.098483607,Total phospholipids in lipoprotein particles,Phospholipids,Lipoprotein Particles-Total PLs,1.33770929863047e-64,3.27424875260454e-64,29453
APOM,X23412.0.0,0.0903587077805362,0.00326628639988467,0.159668306923883,Phospholipids in VLDL,Phospholipids,VLDL-PLs,2.51877643309898e-166,1.13848694776074e-165,29545
CD276,X23412.0.0,-0.023994676,0.00261555163221793,-0.054734763,Phospholipids in VLDL,Phospholipids,VLDL-PLs,4.85381439271232e-20,7.63546672449873e-20,29453
EGFR,X23412.0.0,0.102203421854225,0.00563180988779623,0.106124184958809,Phospholipids in VLDL,Phospholipids,VLDL-PLs,3.33509261607659e-73,8.83278435039034e-73,29818
GDF15,X23412.0.0,0.00708799629016564,0.00203317364676794,0.0234639477585774,Phospholipids in VLDL,Phospholipids,VLDL-PLs,0.000490688483240055,0.000584686804282526,29818
GHRL,X23412.0.0,0.022430541439816,0.00111987118748671,0.121160959761474,Phospholipids in VLDL,Phospholipids,VLDL-PLs,1.18726896583007e-88,3.60972358220981e-88,29476
LGALS4,X23412.0.0,0.00507768933946617,0.00170549869292789,0.018113642476561,Phospholipids in VLDL,Phospholipids,VLDL-PLs,0.00291087328841833,0.00340858737400281,29453
APOM,X23413.0.0,0.176281581515494,0.00240669437308555,0.394744970037516,Phospholipids in LDL,Phospholipids,LDL-PLs,0,0,29545
CD276,X23413.0.0,-0.034963794,0.00206325973001075,-0.101001863,Phospholipids in LDL,Phospholipids,LDL-PLs,4.16076505367345e-64,1.01474773611173e-63,29453
EGFR,X23413.0.0,0.165040720327008,0.00437857294177883,0.217043116324971,Phospholipids in LDL,Phospholipids,LDL-PLs,9.08680051856111e-304,8.21446766877924e-303,29818
GDF15,X23413.0.0,-0.044222253,0.00158892742044215,-0.18540628,Phospholipids in LDL,Phospholipids,LDL-PLs,2.58411215925173e-168,1.19185581222631e-167,29818
GHRL,X23413.0.0,0.0180325429923525,0.00088530235191483,0.123463701887973,Phospholipids in LDL,Phospholipids,LDL-PLs,1.35606541444059e-91,4.17914704995782e-91,29476
LGALS4,X23413.0.0,-0.033616431,0.00133589126914494,-0.151863616,Phospholipids in LDL,Phospholipids,LDL-PLs,2.88739654578452e-138,1.15156168120112e-137,29453
APOM,X23414.0.0,0.357074681486599,0.00495687796044134,0.356877322490529,Phospholipids in HDL,Phospholipids,HDL-PLs,0,0,29545
CD276,X23414.0.0,0.00251956642341949,0.00426164928518114,0.00324684681204469,Phospholipids in HDL,Phospholipids,HDL-PLs,0.554378489858986,0.566067192958422,29453
EGFR,X23414.0.0,0.228899925399212,0.00910905452768849,0.13433276194057,Phospholipids in HDL,Phospholipids,HDL-PLs,6.60628707587679e-138,2.60410618456073e-137,29818
GDF15,X23414.0.0,-0.045053215,0.00329532220433551,-0.084292852,Phospholipids in HDL,Phospholipids,HDL-PLs,2.00855276734339e-42,3.93583461346479e-42,29818
GHRL,X23414.0.0,0.0505295523726379,0.00180661737604376,0.154448273297063,Phospholipids in HDL,Phospholipids,HDL-PLs,6.4576392757828e-170,3.08329537252165e-169,29476
LGALS4,X23414.0.0,-0.025343523,0.00277138426196206,-0.051073344,Phospholipids in HDL,Phospholipids,HDL-PLs,6.35308664478678e-20,9.97081653973481e-20,29453
APOM,X23415.0.0,1.06034351727234,0.0105394390003689,0.491389134503961,Total esterified cholesterol,Cholesterol,Total CE,0,0,29545
CD276,X23415.0.0,-0.127042398,0.00964490745922207,-0.075989518,Total esterified cholesterol,Cholesterol,Total CE,1.64661217403385e-39,3.15368094348856e-39,29453
EGFR,X23415.0.0,0.88491368927254,0.0202786674596401,0.240860459348918,Total esterified cholesterol,Cholesterol,Total CE,0,0,29818
GDF15,X23415.0.0,-0.246815539,0.0073740685892535,-0.214173515,Total esterified cholesterol,Cholesterol,Total CE,3.81741586456581e-241,2.46495995826249e-240,29818
GHRL,X23415.0.0,0.120022137534842,0.00410172401084043,0.170074924506466,Total esterified cholesterol,Cholesterol,Total CE,1.46789988805196e-185,7.42713525447186e-185,29476
LGALS4,X23415.0.0,-0.192660349,0.00619855061479584,-0.180214056,Total esterified cholesterol,Cholesterol,Total CE,1.02412810952643e-208,5.88439710388915e-208,29453
APOM,X23416.0.0,0.118552841522679,0.00255296085090993,0.263377307401718,Cholesteryl esters in VLDL,Cholesterol,VLDL-CE,0,0,29545
CD276,X23416.0.0,-0.021755599,0.00209126574327777,-0.062362298,Cholesteryl esters in VLDL,Cholesterol,VLDL-CE,2.65604549219648e-25,4.45742288046835e-25,29453
EGFR,X23416.0.0,0.11992106984542,0.00447534175020194,0.156488518044123,Cholesteryl esters in VLDL,Cholesterol,VLDL-CE,2.581801783728e-156,1.13666338270622e-155,29818
GDF15,X23416.0.0,-0.019286893,0.00162255351514678,-0.080237599,Cholesteryl esters in VLDL,Cholesterol,VLDL-CE,1.64305520713518e-32,2.97858671240014e-32,29818
GHRL,X23416.0.0,0.019739259884919,0.000893642983031923,0.134090625929203,Cholesteryl esters in VLDL,Cholesterol,VLDL-CE,3.0350809877383e-107,1.03406276868672e-106,29476
LGALS4,X23416.0.0,-0.022082332,0.0013583044742049,-0.098989084,Cholesteryl esters in VLDL,Cholesterol,VLDL-CE,3.59535887791576e-59,8.29133782049961e-59,29453
APOM,X23417.0.0,0.414717145339506,0.00550041283691691,0.404320956039728,Cholesteryl esters in LDL,Cholesterol,LDL-CE,0,0,29545
CD276,X23417.0.0,-0.079872242,0.00473647592128152,-0.100472256,Cholesteryl esters in LDL,Cholesterol,LDL-CE,1.66884332744547e-63,4.02660418508195e-63,29453
EGFR,X23417.0.0,0.386677154867623,0.0100396586437957,0.221465093633975,Cholesteryl esters in LDL,Cholesterol,LDL-CE,9.47950414903162e-317,9.45162323413177e-316,29818
GDF15,X23417.0.0,-0.099576708,0.00364869854215233,-0.18182065,Cholesteryl esters in LDL,Cholesterol,LDL-CE,5.35989099879346e-162,2.40662655442514e-161,29818
GHRL,X23417.0.0,0.0463480329645596,0.00202839639161227,0.138193978068689,Cholesteryl esters in LDL,Cholesterol,LDL-CE,1.46702206618124e-114,5.1804216712025e-114,29476
LGALS4,X23417.0.0,-0.072050104,0.00307079472319224,-0.141734704,Cholesteryl esters in LDL,Cholesterol,LDL-CE,1.25157874827265e-120,4.5378095792987e-120,29453
APOM,X23418.0.0,0.307197459797964,0.00390740277166754,0.383012391105636,Cholesteryl esters in HDL,Cholesterol,HDL-CE,0,0,29545
CD276,X23418.0.0,0.00224381698668529,0.00340806440382793,0.00360624715601219,Cholesteryl esters in HDL,Cholesterol,HDL-CE,0.510296207233823,0.521841370293412,29453
EGFR,X23418.0.0,0.191536537423069,0.00727529998120708,0.140229902255329,Cholesteryl esters in HDL,Cholesterol,HDL-CE,5.0614462228979e-151,2.14478783695299e-150,29818
GDF15,X23418.0.0,-0.068122031,0.00261320801064236,-0.159002977,Cholesteryl esters in HDL,Cholesterol,HDL-CE,3.84114584849521e-148,1.59772815047838e-147,29818
GHRL,X23418.0.0,0.0342796817602377,0.00145042022986224,0.130654663909019,Cholesteryl esters in HDL,Cholesterol,HDL-CE,2.36628114906578e-122,8.67210064360324e-122,29476
LGALS4,X23418.0.0,-0.04550185,0.00220352658663802,-0.11436376,Cholesteryl esters in HDL,Cholesterol,HDL-CE,4.58613451858913e-94,1.43290285880342e-93,29453
APOM,X23419.0.0,0.38458748875782,0.00436220999527402,0.449370643929948,Total free cholesterol,Cholesterol,Total FC,0,0,29545
CD276,X23419.0.0,-0.047191147,0.00387322188440211,-0.071175367,Total free cholesterol,Cholesterol,Total FC,4.57327281622073e-34,8.35762525444112e-34,29453
EGFR,X23419.0.0,0.328622377425266,0.00817744959950243,0.225541234784974,Total free cholesterol,Cholesterol,Total FC,0,0,29818
GDF15,X23419.0.0,-0.082927306,0.00297663720975428,-0.181449197,Total free cholesterol,Cholesterol,Total FC,1.21137136466302e-168,5.62540948795567e-168,29818
GHRL,X23419.0.0,0.047781720681476,0.00164688507232675,0.170728712548533,Total free cholesterol,Cholesterol,Total FC,1.66149845892596e-182,8.34441448260593e-182,29476
LGALS4,X23419.0.0,-0.069767742,0.00249576818707934,-0.164556547,Total free cholesterol,Cholesterol,Total FC,9.68937776852744e-170,4.56208203268167e-169,29453
APOM,X23420.0.0,0.0659461186196607,0.00192789960191649,0.196589291652185,Free cholesterol in VLDL,Cholesterol,VLDL-FC,1.6170972317982e-251,1.09639192315918e-250,29545
CD276,X23420.0.0,-0.015651144,0.00155397854208372,-0.060218899,Free cholesterol in VLDL,Cholesterol,VLDL-FC,8.05833167447788e-24,1.32289319014431e-23,29453
EGFR,X23420.0.0,0.0721072966022233,0.00333920510661431,0.126297839948173,Free cholesterol in VLDL,Cholesterol,VLDL-FC,1.25145400173261e-102,4.09896528103724e-102,29818
GDF15,X23420.0.0,-0.00191441,0.00120844161798156,-0.010690065,Free cholesterol in VLDL,Cholesterol,VLDL-FC,0.113159433479678,0.120254068807557,29818
GHRL,X23420.0.0,0.0138437104022514,0.000665043308247279,0.126153028607319,Free cholesterol in VLDL,Cholesterol,VLDL-FC,1.50712108343896e-95,4.77489763818512e-95,29476
LGALS4,X23420.0.0,-0.002598107,0.00101362478385837,-0.015632739,Free cholesterol in VLDL,Cholesterol,VLDL-FC,0.0103766288035392,0.011706080413976,29453
APOM,X23421.0.0,0.161251112091392,0.00202599100945553,0.419498648521495,Free cholesterol in LDL,Cholesterol,LDL-FC,0,0,29545
CD276,X23421.0.0,-0.027491787,0.00176229887761796,-0.092259347,Free cholesterol in LDL,Cholesterol,LDL-FC,1.20673595454705e-54,2.70916217610232e-54,29453
EGFR,X23421.0.0,0.14459282511173,0.00373311291018046,0.220853945790196,Free cholesterol in LDL,Cholesterol,LDL-FC,3.15905573950893e-320,3.19675294828662e-319,29818
GDF15,X23421.0.0,-0.047750567,0.00134579647430454,-0.23252284,Free cholesterol in LDL,Cholesterol,LDL-FC,4.08131382891298e-270,3.00775084348152e-269,29818
GHRL,X23421.0.0,0.014274125685993,0.000756450647594137,0.113514577310968,Free cholesterol in LDL,Cholesterol,LDL-FC,5.90844199852372e-79,1.65534036156987e-78,29476
LGALS4,X23421.0.0,-0.037549278,0.00113140495389509,-0.197060834,Free cholesterol in LDL,Cholesterol,LDL-FC,3.80645271553582e-237,2.41193919732083e-236,29453
APOM,X23422.0.0,0.0896610785037294,0.00109704882916363,0.39033727798227,Free cholesterol in HDL,Cholesterol,HDL-FC,0,0,29545
CD276,X23422.0.0,0.00263319238970206,0.000962890549722513,0.0147838268651943,Free cholesterol in HDL,Cholesterol,HDL-FC,0.00624793466744289,0.00716768139513753,29453
EGFR,X23422.0.0,0.0545848763227452,0.00205566725755349,0.139565177614018,Free cholesterol in HDL,Cholesterol,HDL-FC,1.44733966705925e-153,6.2502948679374e-153,29818
GDF15,X23422.0.0,-0.014689596,0.00074203094429525,-0.119741109,Free cholesterol in HDL,Cholesterol,HDL-FC,1.15392694456019e-86,3.41642999306467e-86,29818
GHRL,X23422.0.0,0.0114974588395125,0.000408364547840816,0.153033076644326,Free cholesterol in HDL,Cholesterol,HDL-FC,4.00518876600251e-172,1.93965570239264e-171,29476
LGALS4,X23422.0.0,-0.01123658,0.000623708791965971,-0.098657418,Free cholesterol in HDL,Cholesterol,HDL-FC,3.58540838027321e-72,9.34964185317399e-72,29453
APOM,X23423.0.0,2.25653420547977,0.0271891249824261,0.431578911840685,Total lipids in lipoprotein particles,Lipoprotein,Lipoprotein Particles-TL,0,0,29545
CD276,X23423.0.0,-0.290417656,0.0238395928543786,-0.07173119,Total lipids in lipoprotein particles,Lipoprotein,Lipoprotein Particles-TL,4.67452185229412e-34,8.51969305337477e-34,29453
EGFR,X23423.0.0,1.93214996642688,0.0504512829314898,0.217176165200979,Total lipids in lipoprotein particles,Lipoprotein,Lipoprotein Particles-TL,2.74006172272178e-313,2.58022478889634e-312,29818
GDF15,X23423.0.0,-0.32898696,0.0184601850804697,-0.117890466,Total lipids in lipoprotein particles,Lipoprotein,Lipoprotein Particles-TL,1.12318377960553e-70,2.86285188937049e-70,29818
GHRL,X23423.0.0,0.3256201036163,0.0101066323949112,0.190503759064961,Total lipids in lipoprotein particles,Lipoprotein,Lipoprotein Particles-TL,7.57707597558939e-224,4.58683706379429e-223,29476
LGALS4,X23423.0.0,-0.231616741,0.0155054202813381,-0.089463581,Total lipids in lipoprotein particles,Lipoprotein,Lipoprotein Particles-TL,2.86111083886928e-50,6.15820047223293e-50,29453
APOM,X23424.0.0,0.339914375923612,0.0155418725561037,0.126236990729146,Total lipids in VLDL,Lipoprotein,VLDL-TL,3.37705945305674e-105,1.12790458579925e-104,29545
CD276,X23424.0.0,-0.107924437,0.012383630392793,-0.051758785,Total lipids in VLDL,Lipoprotein,VLDL-TL,3.05498949457901e-18,4.69678656989698e-18,29453
EGFR,X23424.0.0,0.407592636596711,0.0267112744629697,0.0889512335194615,Total lipids in VLDL,Lipoprotein,VLDL-TL,2.25776256831645e-52,5.00249353372076e-52,29818
GDF15,X23424.0.0,0.0604685642748247,0.0096233181384237,0.0420711102068519,Total lipids in VLDL,Lipoprotein,VLDL-TL,3.35511885756897e-10,4.54954117086352e-10,29818
GHRL,X23424.0.0,0.096791988522791,0.00531028648452873,0.10986534444654,Total lipids in VLDL,Lipoprotein,VLDL-TL,7.99800336707064e-74,2.13490011136767e-73,29476
LGALS4,X23424.0.0,0.0623128919704649,0.00806679388139597,0.0467340584954168,Total lipids in VLDL,Lipoprotein,VLDL-TL,1.15749371904602e-14,1.68407884444893e-14,29453
APOM,X23425.0.0,0.771335677089619,0.010210452857188,0.404717493116611,Total lipids in LDL,Lipoprotein,LDL-TL,0,0,29545
CD276,X23425.0.0,-0.14537683,0.00879698094974178,-0.098416364,Total lipids in LDL,Lipoprotein,LDL-TL,4.51602412918567e-61,1.04858368479037e-60,29453
EGFR,X23425.0.0,0.714252837251259,0.0186492088111386,0.220139266998715,Total lipids in LDL,Lipoprotein,LDL-TL,2.54485673742939e-313,2.43015896898236e-312,29818
GDF15,X23425.0.0,-0.182002594,0.00677851160835663,-0.1788347,Total lipids in LDL,Lipoprotein,LDL-TL,6.26801268315448e-157,2.79586355209127e-156,29818
GHRL,X23425.0.0,0.0846002039203831,0.00376789848348531,0.135747978832615,Total lipids in LDL,Lipoprotein,LDL-TL,1.02217669603737e-110,3.57234948408937e-110,29476
LGALS4,X23425.0.0,-0.135208336,0.00570111981661546,-0.143141941,Total lipids in LDL,Lipoprotein,LDL-TL,3.53371561641316e-123,1.30209738474355e-122,29453
APOM,X23426.0.0,0.764105137421351,0.0098001558608183,0.379609484298719,Total lipids in HDL,Lipoprotein,HDL-TL,0,0,29545
CD276,X23426.0.0,0.00675203043146492,0.00853342532261313,0.00432491605854661,Total lipids in HDL,Lipoprotein,HDL-TL,0.428807396126689,0.440502143293781,29453
EGFR,X23426.0.0,0.486037026303966,0.0182134702914812,0.141792207876574,Total lipids in HDL,Lipoprotein,HDL-TL,4.62872935266653e-155,2.02469580716639e-154,29818
GDF15,X23426.0.0,-0.116723571,0.00658371748604509,-0.108560103,Total lipids in HDL,Lipoprotein,HDL-TL,5.72473913286528e-70,1.44827355674726e-69,29818
GHRL,X23426.0.0,0.1026944497632,0.003615977843268,0.15602069634997,Total lipids in HDL,Lipoprotein,HDL-TL,4.63651404697395e-175,2.27793951003503e-174,29476
LGALS4,X23426.0.0,-0.072890501,0.00554098653644447,-0.073013899,Total lipids in HDL,Lipoprotein,HDL-TL,2.064340012772e-39,3.94259867228005e-39,29453
APOM,X23434.0.0,0.551468160978261,0.006221029811196,0.438054803857551,Phosphoglycerides,Phospholipids,Phosphoglycerides,0,0,29521
CD276,X23434.0.0,-0.047018833,0.00553486009570139,-0.048227505,Phosphoglycerides,Phospholipids,Phosphoglycerides,2.07072875562734e-17,3.11989799181186e-17,29431
EGFR,X23434.0.0,0.444553885530971,0.0117044111716901,0.207456850425873,Phosphoglycerides,Phospholipids,Phosphoglycerides,2.69778543186854e-308,2.47175476054982e-307,29794
GDF15,X23434.0.0,-0.05984887,0.00428849969078944,-0.089056502,Phosphoglycerides,Phospholipids,Phosphoglycerides,4.0040325015246e-44,8.17690974708939e-44,29794
GHRL,X23434.0.0,0.0830326240524996,0.00233327368058214,0.201822585507641,Phosphoglycerides,Phospholipids,Phosphoglycerides,1.32826325243275e-271,9.89629104559785e-271,29452
LGALS4,X23434.0.0,-0.03452165,0.0036033148184704,-0.055377794,Phosphoglycerides,Phospholipids,Phosphoglycerides,1.03871611865385e-21,1.65705771399367e-21,29431
APOM,X23436.0.0,0.603913718923084,0.00627923999836872,0.463690615762592,Total cholines,Phospholipids,Total Cholines,0,0,29521
CD276,X23436.0.0,-0.04935852,0.00568994198699426,-0.048933554,Total cholines,Phospholipids,Total Cholines,4.35635849237828e-18,6.66729358427195e-18,29431
EGFR,X23436.0.0,0.478982092910539,0.0120036451119248,0.216054593841771,Total cholines,Phospholipids,Total Cholines,0,0,29794
GDF15,X23436.0.0,-0.083585535,0.00439645608865128,-0.120221367,Total cholines,Phospholipids,Total Cholines,4.05411588588205e-80,1.14528773776168e-79,29794
GHRL,X23436.0.0,0.0862325887583022,0.00239756364395685,0.202585469071195,Total cholines,Phospholipids,Total Cholines,2.84675633600302e-277,2.27070681860006e-276,29452
LGALS4,X23436.0.0,-0.055923447,0.00369588196261124,-0.086708112,Total cholines,Phospholipids,Total Cholines,1.57548227593372e-51,3.46810708793202e-51,29431
APOM,X23437.0.0,0.52184513367208,0.00579387000824891,0.439640720934744,Phosphatidylcholines,Phospholipids,Phosphatidylcholines,0,0,29521
CD276,X23437.0.0,-0.039172687,0.00517138848158404,-0.042628268,Phosphatidylcholines,Phospholipids,Phosphatidylcholines,3.69991998495605e-14,5.33733138255362e-14,29431
EGFR,X23437.0.0,0.392198597324382,0.0109650643279709,0.194126654135407,Phosphatidylcholines,Phospholipids,Phosphatidylcholines,2.27481054254964e-274,1.75263812255529e-273,29794
GDF15,X23437.0.0,-0.067464156,0.00400109754664564,-0.106477668,Phosphatidylcholines,Phospholipids,Phosphatidylcholines,1.70679309316477e-63,4.10356637292806e-63,29794
GHRL,X23437.0.0,0.0762231057870697,0.0021818289059853,0.196512206273152,Phosphatidylcholines,Phospholipids,Phosphatidylcholines,4.94617470260144e-262,3.49323588371227e-261,29452
LGALS4,X23437.0.0,-0.043499526,0.00336153050230102,-0.074032092,Phosphatidylcholines,Phospholipids,Phosphatidylcholines,3.3864594569035e-38,6.30774591148509e-38,29431
APOM,X23438.0.0,0.109445115815712,0.00109027028843325,0.477847840983008,Sphingomyelins,Phospholipids,Sphingomyelins,0,0,29520
CD276,X23438.0.0,-0.009608977,0.000998983505881715,-0.054136453,Sphingomyelins,Phospholipids,Sphingomyelins,7.17674145490784e-22,1.15031458780792e-21,29430
EGFR,X23438.0.0,0.087727935472908,0.00210252733457592,0.224920173298367,Sphingomyelins,Phospholipids,Sphingomyelins,0,0,29793
GDF15,X23438.0.0,-0.020244283,0.000767650618020155,-0.165501803,Sphingomyelins,Phospholipids,Sphingomyelins,1.60044006588232e-151,6.86771116878616e-151,29793
GHRL,X23438.0.0,0.0126848845212211,0.000423924867215235,0.169291202828746,Sphingomyelins,Phospholipids,Sphingomyelins,8.1111372413199e-194,4.2302700381653e-193,29451
LGALS4,X23438.0.0,-0.016913973,0.000644070808788803,-0.149036333,Sphingomyelins,Phospholipids,Sphingomyelins,2.90550969768668e-150,1.22356246896371e-149,29430
APOM,X23439.0.0,0.213368311885082,0.00350158951018883,0.33686918814078,Apolipoprotein B,Lipoprotein,Apolipoprotein B,0,0,29545
CD276,X23439.0.0,-0.038511542,0.00293516151170362,-0.078447466,Apolipoprotein B,Lipoprotein,Apolipoprotein B,3.22789654709715e-39,6.13029092137778e-39,29453
EGFR,X23439.0.0,0.201519289561751,0.006255083804014,0.186878042415969,Apolipoprotein B,Lipoprotein,Apolipoprotein B,7.19697375082044e-224,4.39598937212276e-223,29818
GDF15,X23439.0.0,-0.046588918,0.00226906680824745,-0.13773774,Apolipoprotein B,Lipoprotein,Apolipoprotein B,4.90414702803866e-93,1.51827017580375e-92,29818
GHRL,X23439.0.0,0.0268946162066047,0.00125606016349866,0.129845046254123,Apolipoprotein B,Lipoprotein,Apolipoprotein B,6.1075247287288e-101,1.99081815676833e-100,29476
LGALS4,X23439.0.0,-0.042365959,0.00190106129701745,-0.134957295,Apolipoprotein B,Lipoprotein,Apolipoprotein B,4.10286172589001e-109,1.41925522967012e-108,29453
APOM,X23440.0.0,0.306758994077952,0.00375595252789201,0.400658196952759,Apolipoprotein A1,Lipoprotein,Apolipoprotein A1,0,0,29545
CD276,X23440.0.0,-0.00984706,0.00329686128985944,-0.016582303,Apolipoprotein A1,Lipoprotein,Apolipoprotein A1,0.00282147939933757,0.00330962462413646,29453
EGFR,X23440.0.0,0.211990725771625,0.00701632299582463,0.162576922326508,Apolipoprotein A1,Lipoprotein,Apolipoprotein A1,1.50008185466324e-197,8.00831100363525e-197,29818
GDF15,X23440.0.0,-0.046789507,0.00254354654898195,-0.114398195,Apolipoprotein A1,Lipoprotein,Apolipoprotein A1,3.73559344819283e-75,1.02126304753014e-74,29818
GHRL,X23440.0.0,0.041306791569961,0.00139540255760839,0.165026499175843,Apolipoprotein A1,Lipoprotein,Apolipoprotein A1,8.54722150543868e-190,4.39016377324805e-189,29476
LGALS4,X23440.0.0,-0.023443803,0.0021429779709056,-0.061738721,Apolipoprotein A1,Lipoprotein,Apolipoprotein A1,8.41119492371203e-28,1.44740866961339e-27,29453
APOM,X23442.0.0,2.34134732694383,0.0418521963987476,0.310426994717058,Total fatty acids,Triglycerides&Fatty acid,Total FA,0,0,29521
CD276,X23442.0.0,-0.340709504,0.0347700062376441,-0.058354993,Total fatty acids,Triglycerides&Fatty acid,Total FA,1.23224309280859e-22,1.99393989719385e-22,29431
EGFR,X23442.0.0,2.14928393110376,0.0742900216335169,0.167488703285956,Total fatty acids,Triglycerides&Fatty acid,Total FA,1.59614033934434e-181,7.95722904467252e-181,29794
GDF15,X23442.0.0,0.0471992322952498,0.0270410575710559,0.0117282434072297,Total fatty acids,Triglycerides&Fatty acid,Total FA,0.0809142009763945,0.0869410907480118,29794
GHRL,X23442.0.0,0.447897265516113,0.014758325971804,0.18168439524301,Total fatty acids,Triglycerides&Fatty acid,Total FA,3.09628083187461e-199,1.67942272320879e-198,29452
LGALS4,X23442.0.0,0.124635568560243,0.0226688759056633,0.0333854270356789,Total fatty acids,Triglycerides&Fatty acid,Total FA,3.8711265511736e-08,4.96148166672155e-08,29431
APOM,X23443.0.0,0.0330688746544234,0.00140630104876845,0.130818254891921,Degree of unsaturation,Triglycerides&Fatty acid,Degree of Unsaturation,3.76300224630468e-121,1.37167501236267e-120,29521
CD276,X23443.0.0,-0.012249041,0.00112210150957595,-0.062520884,Degree of unsaturation,Triglycerides&Fatty acid,Degree of Unsaturation,1.09061202027372e-27,1.86725997410501e-27,29431
EGFR,X23443.0.0,0.0667749836482855,0.00240198527319797,0.155034268600002,Degree of unsaturation,Triglycerides&Fatty acid,Degree of Unsaturation,6.11702156709969e-168,2.80225717736053e-167,29794
GDF15,X23443.0.0,-0.03179159,0.000853764388260775,-0.235359899,Degree of unsaturation,Triglycerides&Fatty acid,Degree of Unsaturation,1.12699732501946e-296,9.92343099172979e-296,29794
GHRL,X23443.0.0,0.00090038654572783,0.000484111984330447,0.0108796600524803,Degree of unsaturation,Triglycerides&Fatty acid,Degree of Unsaturation,0.0629135499013985,0.0679225904986436,29452
LGALS4,X23443.0.0,-0.020372009,0.000722528406332529,-0.162621535,Degree of unsaturation,Triglycerides&Fatty acid,Degree of Unsaturation,1.32517044639248e-172,6.4637810262885e-172,29431
APOM,X23444.0.0,0.139184945717014,0.00387295098287145,0.200054683263399,Omega-3 fatty acids,Triglycerides&Fatty acid,Omega-3 FA,7.51037687722515e-277,5.92097153809146e-276,29521
CD276,X23444.0.0,-0.045371961,0.00312052964769154,-0.084216966,Omega-3 fatty acids,Triglycerides&Fatty acid,Omega-3 FA,9.92838553255488e-48,2.08403882076539e-47,29431
EGFR,X23444.0.0,0.233415005259689,0.00664682618569714,0.196826507100422,Omega-3 fatty acids,Triglycerides&Fatty acid,Omega-3 FA,9.61288089315632e-265,6.86056131111577e-264,29794
GDF15,X23444.0.0,-0.033703144,0.00242728961971259,-0.090621561,Omega-3 fatty acids,Triglycerides&Fatty acid,Omega-3 FA,1.06794748490884e-43,2.14221418570471e-43,29794
GHRL,X23444.0.0,0.0296183407918993,0.00133859348242783,0.129988911289226,Omega-3 fatty acids,Triglycerides&Fatty acid,Omega-3 FA,1.33010485472105e-107,4.55460147222663e-107,29452
LGALS4,X23444.0.0,-0.005315299,0.00203927005299045,-0.015429821,Omega-3 fatty acids,Triglycerides&Fatty acid,Omega-3 FA,0.00915266699481072,0.010411926547788,29431
APOM,X23445.0.0,0.888555273199498,0.0113365947225422,0.411229097749002,Omega-6 fatty acids,Triglycerides&Fatty acid,Omega-6 FA,0,0,29521
CD276,X23445.0.0,-0.114974138,0.00984437786376637,-0.068697263,Omega-6 fatty acids,Triglycerides&Fatty acid,Omega-6 FA,1.91163328732024e-31,3.41075623369243e-31,29431
EGFR,X23445.0.0,0.775695197421861,0.0208487815127161,0.211001529709044,Omega-6 fatty acids,Triglycerides&Fatty acid,Omega-6 FA,3.41857260792214e-296,2.93391421287495e-295,29794
GDF15,X23445.0.0,-0.13690528,0.00761554136292766,-0.118746552,Omega-6 fatty acids,Triglycerides&Fatty acid,Omega-6 FA,7.07802143796106e-72,1.8246762490257e-71,29794
GHRL,X23445.0.0,0.126293713855494,0.00417693150189163,0.17886974734479,Omega-6 fatty acids,Triglycerides&Fatty acid,Omega-6 FA,8.53593075155921e-198,4.59314369012472e-197,29452
LGALS4,X23445.0.0,-0.097969436,0.00640043696370473,-0.091548461,Omega-6 fatty acids,Triglycerides&Fatty acid,Omega-6 FA,1.1022733790934e-52,2.45029951155844e-52,29431
APOM,X23446.0.0,1.02773970813179,0.0133183344717687,0.403411440585226,Polyunsaturated fatty acids,Triglycerides&Fatty acid,Polyunsaturated FA,0,0,29521
